APPENDIX 1 - MEDICATION LIST,,,,,,,
category,name,din,drugname,routeadm,strngth,subclnam,DDD
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2246285,BRIMONIDINE TARTRATE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2249456,BRIMONIDINE TARTRATE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2350734,BRIMONIDINE TARTRATE,OPH SOL,0.15%,ANTIGLAUCOMA AGENTS,0.75
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2236876,BRIMONIDINE TARTRATE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2243026,BRIMONIDINE TARTRATE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2248151,BRIMONIDINE TARTRATE,OPH SOL,0.15%,ADRENERGIC AGONISTS,0.75
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2246284,BRIMONIDINE TARTRATE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2260077,BRIMONIDINE TARTRATE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2301334,BRIMONIDINE TARTRATE,OPH SOL,0.15%,ADRENERGIC AGONISTS,0.75
Glaucoma eye drops ,BRIMONIDINE TARTRATE& BRINZOLAMIDE,2435411,BRIMONIDINE TARTRATE& BRINZOLAMIDE,OPHTH SUSP,1%/0.2%,ANTIGLAUCOMA AGENTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE & TIMOLOL MALEATE,2248347,BRIMONIDINE TARTRATE& TIMOLOL MALEATE,OPH SOL,0.2/0.5%,BETA BLOCKING AGENTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE & TIMOLOL MALEATE,9857298,BRIMONIDINE TARTRATE& TIMOLOL MALEATE,OPH SOL,0.2/0.5%,BETA BLOCKING AGENTS,1
Hydrophobic statins ,CERIVASTATIN SODIUM,2243223,CERIVASTATIN SODIUM,TAB,0.8MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,CERIVASTATIN SODIUM,2237325,CERIVASTATIN SODIUM,TAB,0.2MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,CERIVASTATIN SODIUM,2237326,CERIVASTATIN SODIUM,TAB,0.3MG,ANTILIPEMIC: STATINS,0.75
Hydrophobic statins ,CERIVASTATIN SODIUM,2241466,CERIVASTATIN SODIUM,TAB,0.4MG,ANTILIPEMIC: STATINS,1
Chloroquine,CHLOROQUINE,21261,CHLOROQUINE,TAB,250MG,PLASMODICIDES (ANTIMALARIALS),1
Chloroquine,CHLOROQUINEDIPHOSPHATE,912984,CHLOROQUINEDIPHOSPHATE,TAB,250MG,PLASMODICIDES (ANTIMALARIALS),1
Chloroquine,CHLOROQUINEDIPHOSPHATE,33642,CHLOROQUINEDIPHOSPHATE,TAB,250MG,PLASMODICIDES (ANTIMALARIALS),1
Chloroquine,CHLOROQUINEDIPHOSPHATE,1912984,CHLOROQUINEDIPHOSPHATE,TAB,250MG,PLASMODICIDES (ANTIMALARIALS),1
Chloroquine,CHLOROQUINEDIPHOSPHATE,2017539,CHLOROQUINEDIPHOSPHATE,TAB,250MG,PLASMODICIDES (ANTIMALARIALS),1
Chloroquine,CHLOROQUINEPHOSPHATE,72206,CHLOROQUINEPHOSPHATE,TAB,250MG,PLASMODICIDES (ANTIMALARIALS),1
Chloroquine,CHLOROQUINEPHOSPHATE,209953,CHLOROQUINEPHOSPHATE,TAB,250MG,PLASMODICIDES (ANTIMALARIALS),1
Chloroquine,CHLOROQUINEPHOSPHATE,215643,CHLOROQUINEPHOSPHATE,TAB,500MG,PLASMODICIDES (ANTIMALARIALS),2
Chloroquine,CHLOROQUINEPHOSPHATE,99100734,CHLOROQUINEPHOSPHATE,CAP,250MG,PLASMODICIDES (ANTIMALARIALS),1
Chloroquine,CHLOROQUINEPHOSPHATE,99101132,CHLOROQUINEPHOSPHATE,CAP,250MG,PLASMODICIDES (ANTIMALARIALS),1
Dipyridamole,DIPYRIDAMOLE,579572,DIPYRIDAMOLE,TAB,50MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.125
Dipyridamole,DIPYRIDAMOLE,579580,DIPYRIDAMOLE,TAB,25MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.0625
Dipyridamole,DIPYRIDAMOLE,598860,DIPYRIDAMOLE,TAB,75MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.1875
Dipyridamole,DIPYRIDAMOLE,637734,DIPYRIDAMOLE,IV SOL,5MG/ML,ADENOSINE DIPHOSPHATE INHIBITORS,NOT RELEVANT
Dipyridamole,DIPYRIDAMOLE,784419,DIPYRIDAMOLE,TAB,25MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.0625
Dipyridamole,DIPYRIDAMOLE,784427,DIPYRIDAMOLE,TAB,50MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.125
Dipyridamole,DIPYRIDAMOLE,2220571,DIPYRIDAMOLE,TAB,100MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.25
Dipyridamole,DIPYRIDAMOLE,2229396,DIPYRIDAMOLE,TAB,25MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.0625
Dipyridamole,DIPYRIDAMOLE,2229397,DIPYRIDAMOLE,TAB,50MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.25
Dipyridamole,DIPYRIDAMOLE,2229398,DIPYRIDAMOLE,TAB,75MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.1875
Dipyridamole,DIPYRIDAMOLE,2229399,DIPYRIDAMOLE,TAB,100MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.25
Dipyridamole,DIPYRIDAMOLE,2244475,DIPYRIDAMOLE,IV SOL,5MG/ML,ADENOSINE DIPHOSPHATE INHIBITORS,NOT RELEVANT
Dipyridamole,DIPYRIDAMOLE,2244909,DIPYRIDAMOLE,IV SOL,5MG/ML,ADENOSINE DIPHOSPHATE INHIBITORS,NOT RELEVANT
Dipyridamole,DIPYRIDAMOLE,67385,DIPYRIDAMOLE,TAB,25MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.0625
Dipyridamole,DIPYRIDAMOLE,67393,DIPYRIDAMOLE,TAB,50MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.25
Dipyridamole,DIPYRIDAMOLE,452092,DIPYRIDAMOLE,TAB,75MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.1875
Dipyridamole,DIPYRIDAMOLE,571245,DIPYRIDAMOLE,TAB,50MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.25
Dipyridamole,DIPYRIDAMOLE,452106,DIPYRIDAMOLE,TAB,100MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.25
Dipyridamole,DIPYRIDAMOLE,601845,DIPYRIDAMOLE,TAB,75MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.1875
Dipyridamole,DIPYRIDAMOLE,571237,DIPYRIDAMOLE,TAB,25MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.0625
Dipyridamole,DIPYRIDAMOLE,784435,DIPYRIDAMOLE,TAB,75MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.1875
Dipyridamole,DIPYRIDAMOLE,9852565,DIPYRIDAMOLE,INJ SOL,10MG/ML,ADENOSINE DIPHOSPHATE INHIBITORS,NOT RELEVANT
Dipyridamole,DIPYRIDAMOLE,895652,DIPYRIDAMOLE,TAB,50MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.25
Dipyridamole,DIPYRIDAMOLE,895644,DIPYRIDAMOLE,TAB,25MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.0625
Dipyridamole,DIPYRIDAMOLE,895660,DIPYRIDAMOLE,TAB,75MG,ADENOSINE DIPHOSPHATE INHIBITORS,0.1875
Alpha blockers,DOXAZOSIN MESYLATE,2231762,DOXAZOSIN MESYLATE,KIT,"1MG, 2MG, 4MG",ALPHA ADRENERGIC BLOCKING AGENTS,NOT RELEVANT
Alpha blockers,DOXAZOSIN MESYLATE,2240978,DOXAZOSIN MESYLATE,TAB,1MG,ALPHA ADRENERGIC BLOCKING AGENTS,0.25
Alpha blockers,DOXAZOSIN MESYLATE,2240979,DOXAZOSIN MESYLATE,TAB,2MG,ALPHA ADRENERGIC BLOCKING AGENTS,0.5
